bandes,services,renvoie_specifique,text_renvoie_specifique,renvoie_global,text_renvoie_global,observation
"10-10,40 GHz",EXPLORATION DE LA TERRE PAR SATELLITE (active),5.474B,,5.474D,,"Faisceaux hertziens (10-10,68 GHz). Cf. Rec. UIT-R F 747"
"10-10,40 GHz",EXPLORATION DE LA TERRE PAR SATELLITE (active),5.474C,,5.479,"La bande 9 975-10 025 MHz est, de plus, attribuée, à titre secondaire, au service de météorologie par satellite pour être utilisée par les radars météorologiques.","Faisceaux hertziens (10-10,68 GHz). Cf. Rec. UIT-R F 747"
"10-10,40 GHz",FIXE,,,5.474D,,"Faisceaux hertziens (10-10,68 GHz). Cf. Rec. UIT-R F 747"
"10-10,40 GHz",FIXE,,,5.479,"La bande 9 975-10 025 MHz est, de plus, attribuée, à titre secondaire, au service de météorologie par satellite pour être utilisée par les radars météorologiques.","Faisceaux hertziens (10-10,68 GHz). Cf. Rec. UIT-R F 747"
"10-10,40 GHz",MOBILE,,,5.474D,,"Faisceaux hertziens (10-10,68 GHz). Cf. Rec. UIT-R F 747"
"10-10,40 GHz",MOBILE,,,5.479,"La bande 9 975-10 025 MHz est, de plus, attribuée, à titre secondaire, au service de météorologie par satellite pour être utilisée par les radars météorologiques.","Faisceaux hertziens (10-10,68 GHz). Cf. Rec. UIT-R F 747"
"10-10,40 GHz",RADIOLOCALISATION,,,5.474D,,"Faisceaux hertziens (10-10,68 GHz). Cf. Rec. UIT-R F 747"
"10-10,40 GHz",RADIOLOCALISATION,,,5.479,"La bande 9 975-10 025 MHz est, de plus, attribuée, à titre secondaire, au service de météorologie par satellite pour être utilisée par les radars météorologiques.","Faisceaux hertziens (10-10,68 GHz). Cf. Rec. UIT-R F 747"
"10-10,40 GHz",Amateur,,,5.474D,,"Faisceaux hertziens (10-10,68 GHz). Cf. Rec. UIT-R F 747"
"10-10,40 GHz",Amateur,,,5.479,"La bande 9 975-10 025 MHz est, de plus, attribuée, à titre secondaire, au service de météorologie par satellite pour être utilisée par les radars météorologiques.","Faisceaux hertziens (10-10,68 GHz). Cf. Rec. UIT-R F 747"
