bandes,services,renvoie_specifique,text_renvoie_specifique,renvoie_global,text_renvoie_global,observation
"37,5-38,25 MHz",FIXE,,,5.149,En assignant des fréquences aux stations des autres services auxquels les bandes:,Systèmes PMR - Private Mobile Radio (30-70 MHz).
"37,5-38,25 MHz",MOBILE,,,5.149,En assignant des fréquences aux stations des autres services auxquels les bandes:,Systèmes PMR - Private Mobile Radio (30-70 MHz).
"37,5-38,25 MHz",Radioastronomie,,,5.149,En assignant des fréquences aux stations des autres services auxquels les bandes:,Systèmes PMR - Private Mobile Radio (30-70 MHz).
"39-39,5 MHz",Radiolocalisation,5.132A,Les stations du service de radiolocalisation ne doivent pas causer de brouillages préjudiciables aux stations fonctionnant dans les services fixe ou mobile ni demander à être protégées vis-à-vis de ces stations. Les applications du service de radiolocalisation sont limitées aux radars océanographiques exploités conformément à la Résolution 612 (Rév.CMR-12). (CMR-12),,,Systèmes PMR - Private Mobile Radio (30-70 MHz). Cf. Rec. UIT-R M.1808.
"40,02-40,98 MHz",MOBILE,5.150,Les bandes suivantes:,,,"Systèmes PMR - Private Mobile Radio (30-70 MHz). Cf. Rec. UIT-R M.1808. Bande ISM. SRD inductifs dans la bande 40,66-40,70 MHz (fréquence centrale 40,68 MHz)"
"40,98-41,015 MHz",FIXE,,,5.162A,,Systèmes PMR - Private Mobile Radio (30-70 MHz). Cf. Rec. UIT-R M.1808.
"40,98-41,015 MHz",MOBILE,,,5.162A,,Systèmes PMR - Private Mobile Radio (30-70 MHz). Cf. Rec. UIT-R M.1808.
"40,98-41,015 MHz",Recherche spatiale,,,5.162A,,Systèmes PMR - Private Mobile Radio (30-70 MHz). Cf. Rec. UIT-R M.1808.
42-42.5 MHz,Radiolocalisation,5.132A,Les stations du service de radiolocalisation ne doivent pas causer de brouillages préjudiciables aux stations fonctionnant dans les services fixe ou mobile ni demander à être protégées vis-à-vis de ces stations. Les applications du service de radiolocalisation sont limitées aux radars océanographiques exploités conformément à la Résolution 612 (Rév.CMR-12). (CMR-12),,,Systèmes PMR - Private Mobile Radio (30-70 MHz). Cf. Rec. UIT-R M.1808.
47-68 MHz,MOBILE,5.164,"Attribution additionnelle : dans les pays suivants : Albanie, Algérie, Allemagne, Autriche, Belgique, Bosnie-Herzégovine, Botswana, Bulgarie, Côte d'Ivoire, Croatie, Danemark, Espagne, Estonie, Eswatini, Finlande, France, Gabon, Grèce, Hongrie, Irlande, Israël, Italie, Jordanie, Liban, Libye, Liechtenstein, Lituanie, Luxembourg, Madagascar, Mali, Malte, Maroc, Mauritanie, Monaco, Monténégro, Nigéria, Norvège, Pays-Bas, Pologne, République arabe syrienne, Slovaquie, Rép. tchèque, Roumanie, Royaume-Uni, Serbie, Slovénie, Suède, Suisse, Tchad, Togo, Tunisie et Turquie, la bande de fréquences 47-68 MHz, en Sudafricaine (Rép.), la bande de fréquences 47-50 MHz, et en Lettonie, les bandes de fréquences 48,5-56,5 MHz et 58-68 MHz, sont, de plus, attribuées au service mobile terrestre à titre primaire. Toutefois, les stations du service mobile terrestre des pays mentionnés pour chaque bande de fréquences indiquée dans le présent renvoi ne doivent pas causer de brouillage préjudiciable aux stations de radiodiffusion existantes ou en projet des pays autres que ceux mentionnés pour cette même bande de fréquences, ni demander à être protégées vis-à-vis de celles-ci. (CMR-19)",,,Systèmes PMR - Private Mobile Radio (30-70 MHz). Cf. Rec. UITR M.1808.
